component,layer,head,source,separation,delta_separation,behavior,delta_behavior,dfa_score,dfa_rank,necessity_separation,necessity_behavior,separation_control_z,behavior_control_z
L18H0,18,0,dfa,6.685216879844665,0.1026332616806025,4.01875,-0.2625000000000002,-0.9122822284698486,14,-0.1026332616806025,0.2625000000000002,0.36701459525267094,-0.9448151695542475
L20H2,20,2,dfa,6.727773642539978,0.145190024375915,4.3125,0.03125,1.0848084688186646,9,-0.145190024375915,-0.03125,0.6564283196747334,0.4560148925608814
L1MLP,1,,random,6.7463806629180905,0.1637970447540278,4.203125,-0.078125,0.10510949045419693,43,-0.1637970447540278,0.078125,0.7829681861251481,-0.06557076886496416
L20H14,20,14,dfa,6.767956161499024,0.18537254333496112,4.4609375,0.1796875,0.9396166801452637,13,-0.18537254333496112,-0.1796875,0.9296956391806557,1.1638811473531003
L18H7,18,7,dfa,6.78509247303009,0.20250885486602765,4.284375,0.0031249999999998224,1.1116864681243896,8,-0.20250885486602765,-0.0031249999999998224,1.0462337268770907,0.32189286533709166
L17H13,17,13,dfa,6.825743627548218,0.24316000938415527,3.9203125,-0.3609374999999999,-0.7759257555007935,17,-0.24316000938415527,0.3609374999999999,1.3226880736369757,-1.4142422648375073
L17H1,17,1,random,6.844297289848328,0.26171367168426496,4.4,0.11875000000000036,,,-0.26171367168426496,-0.11875000000000036,1.4488650703786805,0.8732834217015595
L18H12,18,12,random,6.8755021572113035,0.29291853904724086,4.23125,-0.04999999999999982,0.4930623769760132,44,-0.29291853904724086,0.04999999999999982,1.6610785074832388,0.06855125835882554
L17H15,17,15,dfa,6.875952744483948,0.29336912631988543,4.0984375,-0.18281249999999982,1.0291708707809448,10,-0.29336912631988543,0.18281249999999982,1.664142794625729,-0.5648027590868441
L20H10,20,10,dfa,6.985312843322754,0.4027292251586916,4.3296875,0.048437500000000355,-1.3364508152008057,5,-0.4027292251586916,-0.048437500000000355,2.4078627466038887,0.5379783536420873
L19H3,19,3,dfa,7.18318395614624,0.6006003379821774,4.2875,0.006249999999999645,-1.0017590522766113,11,-0.6006003379821774,-0.006249999999999645,3.753515284316558,0.3367953128064007
